id,age,coa,male,age_14, alcuse,peer,cpeer,ccoa
16,14,1,0,0,1,1.2649110555648804,.24691105556488036,.5489999999999999
16,15,1,0,1,1.4142135381698608,1.2649110555648804,.24691105556488036,.5489999999999999
16,16,1,0,2,1.4142135381698608,1.2649110555648804,.24691105556488036,.5489999999999999
17,14,1,0,0,0,.8944271802902222,-.12357281970977785,.5489999999999999
17,15,1,0,1,1,.8944271802902222,-.12357281970977785,.5489999999999999
17,16,1,0,2,0,.8944271802902222,-.12357281970977785,.5489999999999999
18,14,1,1,0,2,1.7888543605804443,.7708543605804443,.5489999999999999
18,15,1,1,1,1.7320507764816284,1.7888543605804443,.7708543605804443,.5489999999999999
18,16,1,1,2,1,1.7888543605804443,.7708543605804443,.5489999999999999
19,14,1,0,0,0,0,-1.018,.5489999999999999
19,15,1,0,1,0,0,-1.018,.5489999999999999
19,16,1,0,2,0,0,-1.018,.5489999999999999
20,14,1,0,0,3.316624879837036,2.5298221111297607,1.5118221111297607,.5489999999999999
20,15,1,0,1,3.605551242828369,2.5298221111297607,1.5118221111297607,.5489999999999999
20,16,1,0,2,1,2.5298221111297607,1.5118221111297607,.5489999999999999
21,14,1,1,0,1,1.7888543605804443,.7708543605804443,.5489999999999999
21,15,1,1,1,1.7320507764816284,1.7888543605804443,.7708543605804443,.5489999999999999
21,16,1,1,2,1.7320507764816284,1.7888543605804443,.7708543605804443,.5489999999999999
22,14,1,1,0,2.8284270763397217,2,.982,.5489999999999999
22,15,1,1,1,2.8284270763397217,2,.982,.5489999999999999
22,16,1,1,2,1,2,.982,.5489999999999999
23,14,1,1,0,1,0,-1.018,.5489999999999999
23,15,1,1,1,1,0,-1.018,.5489999999999999
23,16,1,1,2,1.7320507764816284,0,-1.018,.5489999999999999
24,14,1,0,0,0,0,-1.018,.5489999999999999
24,15,1,0,1,1,0,-1.018,.5489999999999999
24,16,1,0,2,0,0,-1.018,.5489999999999999
25,14,1,1,0,3,2.190890312194824,1.1728903121948242,.5489999999999999
25,15,1,1,1,1,2.190890312194824,1.1728903121948242,.5489999999999999
25,16,1,1,2,2.6457512378692627,2.190890312194824,1.1728903121948242,.5489999999999999
26,14,1,0,0,0,1.5491933822631836,.5311933822631836,.5489999999999999
26,15,1,0,1,1,1.5491933822631836,.5311933822631836,.5489999999999999
26,16,1,0,2,1.4142135381698608,1.5491933822631836,.5311933822631836,.5489999999999999
27,14,1,0,0,3,1.7888543605804443,.7708543605804443,.5489999999999999
27,15,1,0,1,0,1.7888543605804443,.7708543605804443,.5489999999999999
27,16,1,0,2,1.7320507764816284,1.7888543605804443,.7708543605804443,.5489999999999999
28,14,1,0,0,0,.8944271802902222,-.12357281970977785,.5489999999999999
28,15,1,0,1,0,.8944271802902222,-.12357281970977785,.5489999999999999
28,16,1,0,2,0,.8944271802902222,-.12357281970977785,.5489999999999999
29,14,1,1,0,0,.8944271802902222,-.12357281970977785,.5489999999999999
29,15,1,1,1,0,.8944271802902222,-.12357281970977785,.5489999999999999
29,16,1,1,2,1,.8944271802902222,-.12357281970977785,.5489999999999999
30,14,1,0,0,1,1.2649110555648804,.24691105556488036,.5489999999999999
30,15,1,0,1,2,1.2649110555648804,.24691105556488036,.5489999999999999
30,16,1,0,2,1.7320507764816284,1.2649110555648804,.24691105556488036,.5489999999999999
31,14,1,1,0,1.7320507764816284,1.7888543605804443,.7708543605804443,.5489999999999999
31,15,1,1,1,3.464101552963257,1.7888543605804443,.7708543605804443,.5489999999999999
31,16,1,1,2,2.8284270763397217,1.7888543605804443,.7708543605804443,.5489999999999999
32,14,1,1,0,1.7320507764816284,0,-1.018,.5489999999999999
32,15,1,1,1,1.4142135381698608,0,-1.018,.5489999999999999
32,16,1,1,2,1,0,-1.018,.5489999999999999
33,14,1,0,0,0,.8944271802902222,-.12357281970977785,.5489999999999999
33,15,1,0,1,1,.8944271802902222,-.12357281970977785,.5489999999999999
33,16,1,0,2,1.4142135381698608,.8944271802902222,-.12357281970977785,.5489999999999999
34,14,1,1,0,0,0,-1.018,.5489999999999999
34,15,1,1,1,1,0,-1.018,.5489999999999999
34,16,1,1,2,1,0,-1.018,.5489999999999999
35,14,1,0,0,1,1.5491933822631836,.5311933822631836,.5489999999999999
35,15,1,0,1,1,1.5491933822631836,.5311933822631836,.5489999999999999
35,16,1,0,2,0,1.5491933822631836,.5311933822631836,.5489999999999999
36,14,1,1,0,1,1.2649110555648804,.24691105556488036,.5489999999999999
36,15,1,1,1,1,1.2649110555648804,.24691105556488036,.5489999999999999
36,16,1,1,2,2,1.2649110555648804,.24691105556488036,.5489999999999999
37,14,1,1,0,1,2,.982,.5489999999999999
37,15,1,1,1,2.8284270763397217,2,.982,.5489999999999999
37,16,1,1,2,3.1622776985168457,2,.982,.5489999999999999
38,14,0,0,0,0,1.2649110555648804,.24691105556488036,-.451
38,15,0,0,1,1.7320507764816284,1.2649110555648804,.24691105556488036,-.451
38,16,0,0,2,2,1.2649110555648804,.24691105556488036,-.451
39,14,0,1,0,0,.8944271802902222,-.12357281970977785,-.451
39,15,0,1,1,0,.8944271802902222,-.12357281970977785,-.451
39,16,0,1,2,0,.8944271802902222,-.12357281970977785,-.451
40,14,0,0,0,0,2.5298221111297607,1.5118221111297607,-.451
40,15,0,0,1,0,2.5298221111297607,1.5118221111297607,-.451
40,16,0,0,2,0,2.5298221111297607,1.5118221111297607,-.451
41,14,0,0,0,1.4142135381698608,1.5491933822631836,.5311933822631836,-.451
41,15,0,0,1,0,1.5491933822631836,.5311933822631836,-.451
41,16,0,0,2,2,1.5491933822631836,.5311933822631836,-.451
42,14,0,0,0,0,.8944271802902222,-.12357281970977785,-.451
42,15,0,0,1,0,.8944271802902222,-.12357281970977785,-.451
42,16,0,0,2,0,.8944271802902222,-.12357281970977785,-.451
43,14,0,0,0,0,.8944271802902222,-.12357281970977785,-.451
43,15,0,0,1,0,.8944271802902222,-.12357281970977785,-.451
43,16,0,0,2,0,.8944271802902222,-.12357281970977785,-.451
44,14,0,1,0,0,0,-1.018,-.451
44,15,0,1,1,1.4142135381698608,0,-1.018,-.451
44,16,0,1,2,3,0,-1.018,-.451
45,14,0,0,0,2.2360680103302,1.7888543605804443,.7708543605804443,-.451
45,15,0,0,1,2.2360680103302,1.7888543605804443,.7708543605804443,-.451
45,16,0,0,2,3,1.7888543605804443,.7708543605804443,-.451
46,14,0,1,0,0,.8944271802902222,-.12357281970977785,-.451
46,15,0,1,1,0,.8944271802902222,-.12357281970977785,-.451
46,16,0,1,2,1.4142135381698608,.8944271802902222,-.12357281970977785,-.451
47,14,0,0,0,0,.8944271802902222,-.12357281970977785,-.451
47,15,0,0,1,1,.8944271802902222,-.12357281970977785,-.451
47,16,0,0,2,0,.8944271802902222,-.12357281970977785,-.451
48,14,0,1,0,0,0,-1.018,-.451
48,15,0,1,1,0,0,-1.018,-.451
48,16,0,1,2,0,0,-1.018,-.451
49,14,0,0,0,0,0,-1.018,-.451
49,15,0,0,1,0,0,-1.018,-.451
49,16,0,0,2,0,0,-1.018,-.451
50,14,0,1,0,0,1.2649110555648804,.24691105556488036,-.451
50,15,0,1,1,0,1.2649110555648804,.24691105556488036,-.451
50,16,0,1,2,0,1.2649110555648804,.24691105556488036,-.451
51,14,0,1,0,0,0,-1.018,-.451
51,15,0,1,1,0,0,-1.018,-.451
51,16,0,1,2,0,0,-1.018,-.451
52,14,0,0,0,0,.8944271802902222,-.12357281970977785,-.451
52,15,0,0,1,1,.8944271802902222,-.12357281970977785,-.451
52,16,0,0,2,0,.8944271802902222,-.12357281970977785,-.451
53,14,0,1,0,0,0,-1.018,-.451
53,15,0,1,1,0,0,-1.018,-.451
53,16,0,1,2,0,0,-1.018,-.451
54,14,0,0,0,0,0,-1.018,-.451
54,15,0,0,1,0,0,-1.018,-.451
54,16,0,0,2,1,0,-1.018,-.451
55,14,0,1,0,0,1.5491933822631836,.5311933822631836,-.451
55,15,0,1,1,0,1.5491933822631836,.5311933822631836,-.451
55,16,0,1,2,0,1.5491933822631836,.5311933822631836,-.451
56,14,0,0,0,0,1.7888543605804443,.7708543605804443,-.451
56,15,0,0,1,1.4142135381698608,1.7888543605804443,.7708543605804443,-.451
56,16,0,0,2,2.6457512378692627,1.7888543605804443,.7708543605804443,-.451
57,14,0,1,0,0,0,-1.018,-.451
57,15,0,1,1,0,0,-1.018,-.451
57,16,0,1,2,0,0,-1.018,-.451
58,14,0,1,0,1,.8944271802902222,-.12357281970977785,-.451
58,15,0,1,1,1.4142135381698608,.8944271802902222,-.12357281970977785,-.451
58,16,0,1,2,2.4494898319244385,.8944271802902222,-.12357281970977785,-.451
59,14,0,1,0,0,.8944271802902222,-.12357281970977785,-.451
59,15,0,1,1,0,.8944271802902222,-.12357281970977785,-.451
59,16,0,1,2,2.6457512378692627,.8944271802902222,-.12357281970977785,-.451
60,14,0,0,0,0,0,-1.018,-.451
60,15,0,0,1,1,0,-1.018,-.451
60,16,0,0,2,1.4142135381698608,0,-1.018,-.451
61,14,0,0,0,2,2,.982,-.451
61,15,0,0,1,2.2360680103302,2,.982,-.451
61,16,0,0,2,2,2,.982,-.451
62,14,0,1,0,0,.8944271802902222,-.12357281970977785,-.451
62,15,0,1,1,0,.8944271802902222,-.12357281970977785,-.451
62,16,0,1,2,0,.8944271802902222,-.12357281970977785,-.451
63,14,0,1,0,0,0,-1.018,-.451
63,15,0,1,1,0,0,-1.018,-.451
63,16,0,1,2,0,0,-1.018,-.451
64,14,0,0,0,0,.8944271802902222,-.12357281970977785,-.451
64,15,0,0,1,2,.8944271802902222,-.12357281970977785,-.451
64,16,0,0,2,2.2360680103302,.8944271802902222,-.12357281970977785,-.451
65,14,0,0,0,0,1.2649110555648804,.24691105556488036,-.451
65,15,0,0,1,1,1.2649110555648804,.24691105556488036,-.451
65,16,0,0,2,1.4142135381698608,1.2649110555648804,.24691105556488036,-.451
66,14,0,1,0,1.4142135381698608,1.2649110555648804,.24691105556488036,-.451
66,15,0,1,1,3.464101552963257,1.2649110555648804,.24691105556488036,-.451
66,16,0,1,2,3,1.2649110555648804,.24691105556488036,-.451
67,14,0,0,0,1,.8944271802902222,-.12357281970977785,-.451
67,15,0,0,1,0,.8944271802902222,-.12357281970977785,-.451
67,16,0,0,2,0,.8944271802902222,-.12357281970977785,-.451
68,14,0,0,0,0,0,-1.018,-.451
68,15,0,0,1,1,0,-1.018,-.451
68,16,0,0,2,0,0,-1.018,-.451
69,14,0,1,0,0,.8944271802902222,-.12357281970977785,-.451
69,15,0,1,1,0,.8944271802902222,-.12357281970977785,-.451
69,16,0,1,2,0,.8944271802902222,-.12357281970977785,-.451
70,14,0,0,0,2,1.5491933822631836,.5311933822631836,-.451
70,15,0,0,1,1,1.5491933822631836,.5311933822631836,-.451
70,16,0,0,2,0,1.5491933822631836,.5311933822631836,-.451
71,14,0,1,0,0,.8944271802902222,-.12357281970977785,-.451
71,15,0,1,1,0,.8944271802902222,-.12357281970977785,-.451
71,16,0,1,2,0,.8944271802902222,-.12357281970977785,-.451
72,14,0,0,0,0,.8944271802902222,-.12357281970977785,-.451
72,15,0,0,1,0,.8944271802902222,-.12357281970977785,-.451
72,16,0,0,2,0,.8944271802902222,-.12357281970977785,-.451
73,14,0,1,0,0,0,-1.018,-.451
73,15,0,1,1,0,0,-1.018,-.451
73,16,0,1,2,0,0,-1.018,-.451
74,14,0,1,0,0,1.5491933822631836,.5311933822631836,-.451
74,15,0,1,1,1.7320507764816284,1.5491933822631836,.5311933822631836,-.451
74,16,0,1,2,2.2360680103302,1.5491933822631836,.5311933822631836,-.451
75,14,0,0,0,0,1.7888543605804443,.7708543605804443,-.451
75,15,0,0,1,0,1.7888543605804443,.7708543605804443,-.451
75,16,0,0,2,0,1.7888543605804443,.7708543605804443,-.451
76,14,0,0,0,0,0,-1.018,-.451
76,15,0,0,1,0,0,-1.018,-.451
76,16,0,0,2,0,0,-1.018,-.451
77,14,0,1,0,0,.8944271802902222,-.12357281970977785,-.451
77,15,0,1,1,1.4142135381698608,.8944271802902222,-.12357281970977785,-.451
77,16,0,1,2,2.8284270763397217,.8944271802902222,-.12357281970977785,-.451
78,14,0,0,0,0,.8944271802902222,-.12357281970977785,-.451
78,15,0,0,1,0,.8944271802902222,-.12357281970977785,-.451
78,16,0,0,2,0,.8944271802902222,-.12357281970977785,-.451
79,14,0,1,0,1,.8944271802902222,-.12357281970977785,-.451
79,15,0,1,1,2.2360680103302,.8944271802902222,-.12357281970977785,-.451
79,16,0,1,2,1.4142135381698608,.8944271802902222,-.12357281970977785,-.451
80,14,0,1,0,1,.8944271802902222,-.12357281970977785,-.451
80,15,0,1,1,1,.8944271802902222,-.12357281970977785,-.451
80,16,0,1,2,1.7320507764816284,.8944271802902222,-.12357281970977785,-.451
81,14,0,1,0,0,1.5491933822631836,.5311933822631836,-.451
81,15,0,1,1,0,1.5491933822631836,.5311933822631836,-.451
81,16,0,1,2,0,1.5491933822631836,.5311933822631836,-.451
82,14,0,0,0,0,2.190890312194824,1.1728903121948242,-.451
82,15,0,0,1,1.4142135381698608,2.190890312194824,1.1728903121948242,-.451
82,16,0,0,2,1,2.190890312194824,1.1728903121948242,-.451
